,Nombre Actividad,Descripción Actividad,Precio Actividad
0,Campo de concentración de Sachsenhausen,"Dura, pero imprescindible. La excursión al campo de concentración de Sachsenhausen se ha convertido por mérito propio en el tour más popular desde Berlín.",30 €
1,Free tour por Berlín,"Si viajáis a la capital de Alemania, no dudéis en reservar el mejor free tour por Berlín. Esta ruta a pie de 3 horas y media es la más completa. ¡Os encantará!",¡Gratis!
2,Excursión a Potsdam y Sachsenhausen,En esta excursión a Potsdam y Sachsenhausen visitaremos estos dos destacados lugares que forman parte de la historia de Alemania en un día. ¡Imprescindible!,65 €
3,Excursión a Potsdam,¿Queréis conocer una de las ciudades más bellas de Alemania? En esta excursión a Potsdam viajaremos en tren desde Berlín para descubrir sus palacios e iglesias.,26 €
4,Tour de Berlín al completo,El tour de Berlín al completo es perfecto para conocer la ciudad en solo un día. Descubriréis sus monumentos más importantes con un guía en español.,40 €
5,Visita guiada por el Berlín alternativo,En esta visita guiada por el Berlín alternativo descubriremos qué hay más allá de los monumentos y cómo es la vida en los barrios de la capital alemana.,20 €
6,Traslados en Berlín,"Servicio privado, puerta a puerta y al mejor precio. Un chófer os esperará en el aeropuerto, en el hotel o donde queráis para llevaros a vuestro destino. Rápido y seguro.",62 €
7,Free tour del Muro de Berlín y la Guerra Fría,En este free tour del Muro de Berlín y la Guerra Fría descubriremos cómo era la vida en la capital de Alemania cuando la ciudad estaba dividida en sectores.,¡Gratis!
8,Paseo histórico por el Berlín del nazismo,En este paseo histórico por Berlín nos acercaremos a la figura de Hitler para descubrir cómo llegó al poder. Conoceremos el nazismo de principio a fin.,22 €
9,Visita guiada por Berlín,No hay mejor forma de empezar un viaje que con una visita guiada en español. Conoce lo más importante de Berlín en una sola mañana.,22 €
10,Excursión a Dresde y Meissen,"En esta excursión a Dresde y Meissen desde Berlín os llevaremos a descubrir la esencia del antiguo reino de Sajonia, conociendo sus lugares con más historia.",135 €
11,Tarjeta eSIM Civitatis Alemania,¿Estáis preparando un viaje a Alemania? Esta tarjeta eSIM con Internet os permitirá estar conectados en todo el país. ¡Podréis hacer videollamadas y chatear!,"4,60 €"
12,"Autobús turístico de Berlín, Big Bus","El autobús turístico de Berlín Big Bus os permitirá conocer los imprescindibles de la capital alemana. Además, podréis subir y bajar en cualquier parada.","29,60 €"
13,Visita guiada por el Barrio Judío y su museo,"Durante este tour recorreremos uno de los barrios más carismáticos de Berlín y, además, visitaremos el Museo Judío. ¡Os encantará!",30 €
14,Tour de la cerveza por Berlín,Descubrid el aroma de la cerveza alemana en este tour por los mejores bares de Berlín. Aprenderéis cómo se hace y probaréis el producto estrella del país.,40 €
15,Berlin WelcomeCard,La tarjeta Berlin WelcomeCard permite el uso ilimitado del transporte público y ofrece descuentos de hasta el 50% en más de 190 museos y atracciones.,26 €
16,Seguro de viaje Civitatis,Con nuestro seguro de viajes solo tendrás que preocuparte de desconectar y disfrutar de tus vacaciones. ¡No dejes que nada estropee tu viaje!,"17,57 €"
17,Tour privado por Berlín con guía en español,"Descubrid la historia, monumentos y arte de la capital de Alemania en uno de nuestros tours privados por Berlín. ¡Una oportunidad única para explorar la ciudad!","197,50 €"
18,Espectáculo FALLING IN LOVE Grand Show en el Teatro Friedrichstadt-Palast,"El teatro Friedrichstadt-Palast de Berlín no solo destaca por tener el escenario más ancho del mundo, sino también por sus increíbles espectáculos.","44,90 €"
19,Visita al Palacio de Charlottenburg + Excursión a Potsdam,"En esta visita por el Palacio de Charlottenburg en Berlín recorremos sus estancias y, después, nos desplazaremos a Potsdam para contemplar sus bellos palacios.",79 €
